Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
Identify the product categories with the lowest total sales revenue.,"SELECT CategoryID, SUM(od.Quantity * od.UnitPrice) AS TotalRevenue FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.CategoryID ORDER BY TotalRevenue ASC LIMIT 1;","```sql
SELECT c.CategoryName, SUM(od.Quantity * od.UnitPrice) AS TotalRevenue 
FROM [Order Details] od 
JOIN products p ON p.ProductID = od.ProductID 
JOIN categories c ON p.CategoryID = c.CategoryID 
GROUP BY c.CategoryName 
ORDER BY TotalRevenue ASC;
```","The generated query does not limit the result to the category with the lowest total sales revenue. It lists all categories sorted by total revenue in ascending order. Additionally, the ground truth query uses 'LIMIT 1' to ensure only the category with the lowest revenue is returned.","```sql
SELECT products.CategoryID, SUM([Order Details].Quantity * [Order Details].UnitPrice) AS TotalSalesRevenue
FROM products
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY products.CategoryID
ORDER BY TotalSalesRevenue ASC;
```",The generated SQL query lists all product categories ordered by total sales revenue in ascending order but does not limit the result to the lowest total sales revenue category. The ground truth query includes a LIMIT 1 clause to identify only the lowest total sales revenue category.,Both,None
Calculate the month-over-month growth rate of total sales for December 2023.,"SELECT (SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) - LAG(SUM(od.UnitPrice * od.Quantity * (1 - od.Discount))) OVER (ORDER BY DATE_FORMAT(o.OrderDate, '%Y-%m'))) / LAG(SUM(od.UnitPrice * od.Quantity * (1 - od.Discount))) OVER (ORDER BY DATE_FORMAT(o.OrderDate, '%Y-%m') ) AS MoM_GrowthRate FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE DATE_FORMAT(o.OrderDate, '%Y-%m') IN ('2023-11', '2023-12');","SELECT ((SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / SUM(od2.UnitPrice * od2.Quantity * (1 - od2.Discount)) - 1) * 100) AS MoM_Growth_Rate FROM [Order Details] od JOIN orders o ON od.OrderID = o.OrderID JOIN [Order Details] od2 ON od2.OrderID = o2.OrderID AND DATE_FORMAT(o.OrderDate, '%Y-%m') = '2023-12' WHERE o.OrderDate BETWEEN DATE_SUB('2023-12-01', INTERVAL 1 MONTH) AND DATE_ADD('2023-12-01', INTERVAL 1 MONTH GROUP BY DATE_FORMAT(o.OrderDate, '%Y-%m'))",The generated SQL query has syntax issues and uses incorrect logic to calculate the month-over-month growth rate. It attempts to join the same table twice without proper aliasing and has malformed date conditions without proper aggregation logic. The ground truth SQL query correctly calculates the growth by comparing the sales of two consecutive months using the LAG function.,"```sql
WITH MonthlySales AS (
    SELECT 
        DATE_FORMAT(OrderDate, '%Y-%m') AS SaleMonth,
        SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales
    FROM 
        orders
    JOIN 
        [Order Details] ON orders.OrderID = [Order Details].OrderID
    WHERE 
        OrderDate >= '2023-11-01' AND OrderDate < '2024-01-01'
    GROUP BY 
        SaleMonth
)

SELECT 
    (CurrentMonth.TotalSales - PreviousMonth.TotalSales) / PreviousMonth.TotalSales * 100 AS GrowthRate
FROM 
    (SELECT TotalSales FROM MonthlySales WHERE SaleMonth = '2023-12') AS CurrentMonth,
    (SELECT TotalSales FROM MonthlySales WHERE SaleMonth = '2023-11') AS PreviousMonth;
```","The generated SQL query correctly calculates the month-over-month growth rate for total sales for December 2023 by first calculating the total sales for November and December 2023 and then finding the percentage growth rate. The approach is different from the ground truth query, which uses window functions, but the final result addresses the user's question correctly. Both queries use the same schema and necessary fields, resulting in the correct answer.",Base,FT
How many products have a reorder level of zero?,SELECT COUNT(*) AS ZeroReorderProducts FROM products WHERE ReorderLevel = 0,"SELECT ProductID, ProductName FROM products WHERE ReorderLevel = 0;","The generated SQL query selects the ProductID and ProductName for products where the ReorderLevel is zero, which lists the products with different attributes but does not count them. The ground truth SQL query correctly counts how many products have a reorder level of zero.","```sql
SELECT COUNT(*) AS NumberOfProducts
FROM products
WHERE ReorderLevel = 0;
```","Both queries correctly count the number of products with a reorder level of zero, even though they use different column labels for the result set.",Base,FT
"List the count of products in each category, supplied by supplier.","SELECT s.SupplierID, s.CompanyName, p.CategoryID, COUNT(p.ProductID) AS ProductCount FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID, s.CompanyName, p.CategoryID;","```sql
SELECT p.CategoryID, s.SupplierID, COUNT(*) AS ProductCount FROM products p JOIN suppliers s ON p.SupplierID = s.SupplierID GROUP BY p.CategoryID, s.SupplierID;
```","The generated query does not include the supplier's company name, which is part of the ground truth query. While both queries provide the count of products in each category by supplier, the generated query omits a required column (CompanyName) that was included in the ground truth query.","```sql
SELECT p.CategoryID, s.SupplierID, COUNT(p.ProductID) AS ProductCount
FROM products p
JOIN suppliers s ON p.SupplierID = s.SupplierID
GROUP BY p.CategoryID, s.SupplierID
```","The generated SQL query correctly lists the count of products in each category supplied by each supplier. Although it doesn't include the 'CompanyName' column, the core requirement of counting products per category per supplier is met with the 'SupplierID'.",Base,FT
Which products have less than 10 units in stock?,"SELECT ProductName, UnitsInStock FROM products WHERE UnitsInStock < 10;","SELECT ProductID, ProductName FROM products WHERE UnitsInStock < 10;","The generated SQL query includes the column 'ProductID' which is not in the Ground Truth SQL query. The Ground Truth SQL query includes the column 'UnitsInStock' which is not in the generated SQL query. Therefore, they will not produce the same result set.","```sql
SELECT ProductID, ProductName, UnitsInStock
FROM products
WHERE UnitsInStock < 10;
```","The generated SQL query correctly identifies products with less than 10 units in stock. Although it includes the ProductID column which is not in the ground truth query, it still answers the user's question accurately by providing the ProductName and UnitsInStock.",Base,FT
Identify the customer with the most late shipments.,"SELECT c.CustomerID, COUNT(o.OrderID) AS LateOrderCount FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID WHERE o.RequiredDate < o.ShippedDate GROUP BY c.CustomerID ORDER BY LateOrderCount DESC LIMIT 1;","SELECT o.CustomerID, COUNT(*) AS LateShipments FROM orders o WHERE o.ShippedDate IS NOT NULL AND o.ShippedDate > o.RequiredDate GROUP BY o.CustomerID ORDER BY LateShipments DESC;","The generated query does not include a LIMIT 1 clause, which means it will return all customers with late shipments ordered by count. The user question specifically asks for the customer with the most late shipments, which requires returning only the top result.","```sql
SELECT orders.CustomerID, COUNT(*) AS LateShipments
FROM orders
WHERE ShippedDate > RequiredDate
GROUP BY orders.CustomerID
ORDER BY LateShipments DESC
LIMIT 1;
```","The generated SQL query correctly identifies the customer with the most late shipments by counting the number of times the shipped date is later than the required date, grouping by customer ID, and ordering by the count in descending order to get the highest count. The schema aligns with the ground truth query and the result set will be the same.",Base,FT
Find the orders placed in the last 30 days and their total freight cost.,"SELECT o.OrderID, o.OrderDate, o.ShippedDate, o.Freight FROM orders o WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 30 DAY);","```sql
SELECT SUM(Freight) AS TotalFreightCost FROM orders WHERE OrderDate >= CURDATE() - INTERVAL 30 DAY;
```","The generated SQL query only calculates the total freight cost of the orders placed in the last 30 days, whereas the user question asks for the orders themselves along with their total freight costs. The ground truth query lists the orders with their details for the last 30 days. ","```sql
SELECT SUM(Freight) AS TotalFreightCost
FROM orders
WHERE OrderDate >= CURDATE() - INTERVAL 30 DAY;
```","The generated SQL query only calculates the total freight cost of orders placed in the last 30 days, but it does not include the details of each order as required by the user's question. The ground truth SQL query retrieves the order ID, order date, shipped date, and freight cost for each order placed in the last 30 days.",Both,None
What is the monthly inventory turnover ratio?,"SELECT DATEPART(month, OrderDate) AS Month, SUM(OD.Quantity * OD.UnitPrice) / AVG(P.UnitsInStock) AS InventoryTurnoverRatio FROM [Order Details] OD JOIN products P ON OD.ProductID = P.ProductID GROUP BY DATEPART(month, OrderDate);","SELECT DATE_FORMAT(o.OrderDate, '%Y-%m') AS Month, SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN products p ON od.ProductID = p.ProductID GROUP BY Month;","While both the generated query and the ground truth query aim to compute the monthly inventory turnover ratio, there are differences in the use of functions. The generated query uses DATE_FORMAT(o.OrderDate, '%Y-%m') to extract the month and year, while the ground truth query uses DATEPART(month, OrderDate) to extract only the month. Additionally, the generated query includes the orders table (o), which is not present in the ground truth query. These differences can lead to discrepancies in the results.","```sql
SELECT 
    DATE_TRUNC('month', o.OrderDate) AS Month, 
    SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio
FROM 
    [Order Details] od
JOIN 
    products p ON od.ProductID = p.ProductID
JOIN 
    orders o ON od.OrderID = o.OrderID
GROUP BY 
    Month
ORDER BY 
    Month;
```","The generated SQL query includes an additional join with the 'orders' table, which is unnecessary for calculating the inventory turnover ratio and could impact the results. Additionally, the use of DATE_TRUNC instead of DATEPART means it is not consistent with the ground truth SQL query's method of extracting the month.",Both,None
Find the CustomerID and the total number of orders for each customer who has ordered more than 10 times.,"SELECT customers.CustomerID, COUNT(orders.OrderID) AS order_count FROM customers INNER JOIN orders ON customers.CustomerID = orders.CustomerID GROUP BY customers.CustomerID HAVING COUNT(orders.OrderID) > 10","```sql
SELECT c.CustomerID, COUNT(o.OrderID) AS TotalOrders FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID GROUP BY c.CustomerID HAVING TotalOrders > 10;
```","The generated SQL query correctly joins the 'customers' and 'orders' tables on the 'CustomerID' field, groups by 'CustomerID', counts the 'OrderID', and filters for customers with more than 10 orders. The column labels and aggregate function usage align with the user's question.","```sql
SELECT CustomerID, COUNT(OrderID) AS TotalOrders
FROM orders
GROUP BY CustomerID
HAVING COUNT(OrderID) > 10;
```",The generated SQL query does not account for the customers who have not placed any orders. It only queries from the orders table and does not join with the customers table to include all customers. The ground truth query correctly joins the customers and orders tables to ensure all customers are accounted for.,FT,Base
How many orders were shipped over a week late in August 2023?,"SELECT COUNT(OrderID) AS LateOrders FROM orders WHERE DATEDIFF(ShippedDate, RequiredDate) > 7 AND OrderDate BETWEEN '2023-08-01' AND '2023-08-31';","```sql
SELECT COUNT(*) AS LateOrders FROM orders WHERE ShippedDate > RequiredDate AND DATE_FORMAT(OrderDate, '%Y-%m') = '2023-08';
```","The generated SQL query checks if ShippedDate is merely after RequiredDate, which includes all orders shipped late (even by one day), whereas the ground truth SQL query accurately checks if the ShippedDate is more than a week late compared to RequiredDate. Additionally, the date filtering for August 2023 in the generated query is based on OrderDate, but it should be adjusted to focus on orders actually late by a week.","```sql
SELECT COUNT(OrderID) AS LateOrders
FROM orders
WHERE ShippedDate > DATEADD(DAY, 7, RequiredDate)
  AND OrderDate >= '2023-08-01'
  AND OrderDate <= '2023-08-31';
```","Both queries correctly count the number of orders that were shipped more than 7 days late in August 2023. The key difference lies in the method used to calculate lateness (DATEADD vs DATEDIFF), but both achieve the same result. The date filtering for August 2023 is also correctly applied in both.",Base,FT
What is the average freight cost for orders shipped to Europe?,"SELECT AVG(Freight) AS AverageFreightCost FROM orders WHERE ShipCountry IN ('Austria', 'Belgium', 'Denmark', 'Finland', 'France', 'Germany', 'Greece', 'Ireland', 'Italy', 'Netherlands', 'Norway', 'Poland', 'Portugal', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom');",SELECT AVG(Freight) AS AvgFreightCost FROM orders WHERE ShipRegion = 'Europe';,"The generated SQL query uses the 'ShipRegion' column to determine if the orders are shipped to Europe, while the ground truth query uses a list of European countries specified in the 'ShipCountry' column. The correctness of the generated query depends on the schema and data in the 'ShipRegion' column ensuring it accurately represents shipping to Europe, which is not guaranteed here.","```sql
SELECT AVG(Freight) AS AverageFreightCost
FROM orders
WHERE ShipCountry IN ('France', 'Germany', 'Italy', 'Spain', 'United Kingdom', 'Netherlands', 'Belgium', 'Sweden', 'Austria', 'Denmark', 'Finland', 'Ireland', 'Norway', 'Switzerland', 'Portugal', 'Greece', 'Poland', 'Czech Republic', 'Hungary', 'Romania', 'Slovakia');
```","The generated SQL query includes an extensive list of countries in Europe, with some additional ones that are valid entries for Europe. Both queries aim to calculate the average freight cost for orders shipped to European countries, and the schema and logic are correct.",Base,FT
